scenario_id	application	screen_flow	reference_state	current_main_state	components_involved	visual_proof	interaction_proof	current_defect_regression	root_component_owners	app_owner	owning_task_ids
SC-TASK-SCROLL	showcase	taskrunner	showcase-scenarios.tsv#SC-TASK-SCROLL; O:pages/taskrunner.rs:365,479	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/taskrunner	Tree,ScrollPanel,scrollbar	REQUIRED-UNCAPTURED V:SC-TASK-SCROLL; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-TASK-SCROLL	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;output-text;runtime-input;scroll-parity;theme-paint	showcase-taskrunner	TASK-002;TASK-036;TASK-039;TASK-069
HO-BASE-01	holla	first-use	holla-scenarios.tsv#HO-BASE-01; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-01; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-01	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-040;TASK-041;TASK-050;TASK-069
HO-BASE-02	holla	rust-dirty	holla-scenarios.tsv#HO-BASE-02; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-02; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-02	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-03	holla	monorepo-root	holla-scenarios.tsv#HO-BASE-03; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-03; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-03	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-04	holla	monorepo-child	holla-scenarios.tsv#HO-BASE-04; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-04; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-04	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-05	holla	docker-cleanup	holla-scenarios.tsv#HO-BASE-05; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; oracle screens/outcomes missing; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-05; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-05	HO-DISK: main disk/plan model does not mount oracle tree/categories/report/history/virtual-FS flows	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-048;TASK-050;TASK-069
HO-BASE-06	holla	disk-cleanup	holla-scenarios.tsv#HO-BASE-06; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; oracle screens/outcomes missing; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-06; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-06	HO-DISK: main disk/plan model does not mount oracle tree/categories/report/history/virtual-FS flows	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-046;TASK-050;TASK-069
HO-BASE-07	holla	upgrade-plan	holla-scenarios.tsv#HO-BASE-07; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial review; oracle progression differs; M:apps/holla/src/app.rs;dispatch.rs;screens/	TextViewport,ChipBar,Steps,TextInput,Button,Dialog,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-07; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-07	HO-REVIEW: preserve current-review safety internally; restore oracle review/gate/focus/executing progression	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-activity-plan	TASK-003;TASK-049;TASK-050;TASK-069
HO-BASE-08	holla	activities-multi	holla-scenarios.tsv#HO-BASE-08; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-08; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-08	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-044;TASK-050;TASK-069
HO-BASE-09	holla	remote-host	holla-scenarios.tsv#HO-BASE-09; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-09; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-09	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-048;TASK-050;TASK-069
HO-BASE-10	holla	launch-failure	holla-scenarios.tsv#HO-BASE-10; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-10; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-10	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-044;TASK-050;TASK-069
HO-BASE-11	holla	hard-cases	holla-scenarios.tsv#HO-BASE-11; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-11; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-11	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-12	holla	parity-discovery	holla-scenarios.tsv#HO-BASE-12; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-12; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-12	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-13	holla	parity-history	holla-scenarios.tsv#HO-BASE-13; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-13; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-13	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-050;TASK-069
HO-BASE-14	holla	parity-files	holla-scenarios.tsv#HO-BASE-14; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing oracle route; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-14; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-14	HO-ROUTES: exhaustive main Route/Destination lacks oracle Files/Args/page-stack destinations	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-042;TASK-050;TASK-069
HO-BASE-15	holla	parity-browser	holla-scenarios.tsv#HO-BASE-15; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing oracle route; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-15; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-15	HO-ROUTES: exhaustive main Route/Destination lacks oracle Files/Args/page-stack destinations	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-042;TASK-050;TASK-069
HO-BASE-16	holla	parity-git-current	holla-scenarios.tsv#HO-BASE-16; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-16; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-16	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-17	holla	parity-git-batch	holla-scenarios.tsv#HO-BASE-17; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-17; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-17	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-18	holla	parity-task-sources	holla-scenarios.tsv#HO-BASE-18; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-18; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-18	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-19	holla	parity-cargo	holla-scenarios.tsv#HO-BASE-19; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-19; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-19	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-20	holla	parity-docker	holla-scenarios.tsv#HO-BASE-20; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-20; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-20	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-048;TASK-050;TASK-069
HO-BASE-21	holla	parity-brew-services	holla-scenarios.tsv#HO-BASE-21; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-21; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-21	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-048;TASK-050;TASK-069
HO-BASE-22	holla	parity-gradle	holla-scenarios.tsv#HO-BASE-22; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-22; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-22	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-23	holla	parity-idea	holla-scenarios.tsv#HO-BASE-23; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-23; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-23	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-047;TASK-050;TASK-069
HO-BASE-24	holla	parity-upgrade-managers	holla-scenarios.tsv#HO-BASE-24; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	TextViewport,ChipBar,Steps,TextInput,Button,Dialog,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-24; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-24	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-activity-plan	TASK-003;TASK-049;TASK-050;TASK-069
HO-BASE-25	holla	parity-executor	holla-scenarios.tsv#HO-BASE-25; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-25; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-25	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-044;TASK-050;TASK-069
HO-BASE-26	holla	parity-task-input	holla-scenarios.tsv#HO-BASE-26; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-26; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-26	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-044;TASK-050;TASK-069
HO-BASE-27	holla	parity-custom-actions	holla-scenarios.tsv#HO-BASE-27; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial review; oracle progression differs; M:apps/holla/src/app.rs;dispatch.rs;screens/	Dialog,TextInput,Select,Button,Props,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-27; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-27	HO-REVIEW: preserve current-review safety internally; restore oracle review/gate/focus/executing progression	chrome;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-review-trust-args	TASK-003;TASK-049;TASK-050;TASK-069
HO-BASE-28	holla	parity-disk-scan	holla-scenarios.tsv#HO-BASE-28; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; oracle screens/outcomes missing; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-28; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-28	HO-DISK: main disk/plan model does not mount oracle tree/categories/report/history/virtual-FS flows	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-045;TASK-050;TASK-069
HO-BASE-29	holla	parity-disk-navigation	holla-scenarios.tsv#HO-BASE-29; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; oracle screens/outcomes missing; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-29; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-29	HO-DISK: main disk/plan model does not mount oracle tree/categories/report/history/virtual-FS flows	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-045;TASK-050;TASK-069
HO-BASE-30	holla	parity-insights	holla-scenarios.tsv#HO-BASE-30; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-30; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-30	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-045;TASK-050;TASK-069
HO-BASE-31	holla	parity-delete-safety	holla-scenarios.tsv#HO-BASE-31; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	missing CLI scenario; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-31; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-31	HO-WORLDS: main Scenario::ALL has 11; named parity world rejected	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-046;TASK-050;TASK-069
HO-BASE-32	holla	parity-cleanup-results	holla-scenarios.tsv#HO-BASE-32; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; oracle screens/outcomes missing; M:apps/holla/src/app.rs;dispatch.rs;screens/	Tree/List,TextViewport,ScrollRegion,Panel,Dialog,TextInput,Meter	REQUIRED-UNCAPTURED V:HO-BASE-32; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-32	HO-DISK: main disk/plan model does not mount oracle tree/categories/report/history/virtual-FS flows	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-files-disk-cleanup	TASK-003;TASK-046;TASK-050;TASK-069
HO-BASE-33	holla	parity-platforms	holla-scenarios.tsv#HO-BASE-33; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-33; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-33	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;fields-edit;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-045;TASK-050;TASK-069
HO-BASE-34	holla	parity-platforms-linux	holla-scenarios.tsv#HO-BASE-34; O:src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	partial domain; exact oracle effects unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	Props,Panel,Button,Meter,TextViewport,ScrollRegion	REQUIRED-UNCAPTURED V:HO-BASE-34; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY real oracle --scenario/--frame startup; main missing world is a failure; holla-scenarios.tsv#HO-BASE-34	HO-EFFECTS: main finite action simulation/catalog is narrower; preserve oracle argv/cwd/host/outcomes	chrome;fields-edit;output-text;runtime-input;scroll-parity;text-core;theme-paint	holla-snapshots-providers	TASK-003;TASK-045;TASK-050;TASK-069
HO-HP01	holla	finder discovery	holla-scenarios.tsv#HO-HP01; O:src/bin/holla/app_tests_parity.rs:89	partially migrated; oracle route/behavior parity unverified; M:apps/holla/src/app.rs;dispatch.rs;screens/	NavList,TextInput,Tabs,MenuBar,Picker,Dialog,Panel,ScrollRegion	REQUIRED-UNCAPTURED V:HO-HP01; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV test replay required; PTY only event-reachable variants; fixture mutations never establish CLI reachability; holla-scenarios.tsv#HO-HP01	HO-PARTIAL: 11 migrated worlds and Home/Plan/Activity routes do not cover oracle 34-world page/tab experience	chrome;collections;fields-edit;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	holla-shell-finder	TASK-003;TASK-041;TASK-049;TASK-050;TASK-069
