id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship
A128	REFACTORING_STATE.md	b9bfd758;1f2ea256;7b27732a8c3c131760ec3438f641cb3c11343a42:REFACTORING_STATE.md:2230-2283	Old parity_contract 60 exact/379 mismatch/60 runfail remains unresolved evidence	accepted_historical_fact	b9bfd758;1f2ea256	parity replay;TablePro focus	explicit_disposition_needed	Retain old evidence; create correct current oracle contract without silent waiver	old archive versus new contract ledger	TASK-008;TASK-066;TASK-069	docs/refactoring-plan/historical-obligations.tsv:129	global semantic anchor; supplemental clauses retained
A129	GOAL2.md;docs/audit/consolidation/disposition-ledger.md	db5c41a6:GOAL2.md;7b27732a8c3c131760ec3438f641cb3c11343a42:docs/audit/consolidation/disposition-ledger.md:166-167,175,254-255,259,468,476-477	Rejected stale item-row, manager, Grid/progress patches do not waive their underlying capabilities	accepted_disposition	569167ee;378d51c9	apps;rowui	remaining_work_by_matrix	Reimplement accepted behavior with current API and oracle evidence	component/app task ownership	TASK-015;TASK-034;TASK-051	docs/refactoring-plan/historical-obligations.tsv:130	global semantic anchor; supplemental clauses retained
A130	REFACTORING_GOAL.md	e48137f1:REFACTORING_GOAL.md:§§27-30;efada044;d4715f8e	Independent API/visual/interaction/perf review and all quality gates on exact integrated commit	accepted	no full completion established	whole workspace	final_gate_required	Do not infer completion from old signed commits/review summaries	fresh five-perspective review;merged verification	TASK-069	docs/refactoring-plan/historical-obligations.tsv:131	global semantic anchor; supplemental clauses retained
F01	IMPROVEMENTS_PLAN.md;docs/improvements/f01-modal-first-paste-routing.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Modal owner receives/consumes paste before hidden editors	deferred_not_selected_oracle_preserved	not established	TablePro modal paste	historical_proposal_not_current_product_gate	Deferred proposal, not selected by immutable-oracle parity. Preserve oracle02f5294b TablePro app.rs237-254 Picker paste fallthrough; do not impose exhaustive modal-first ownership or apply this TablePro proposal to Holla. Any later change requires explicit authority	Source-qualified disposition against exact current oracle; no proposed-behavior PASS claim	TASK-017;TASK-023	docs/refactoring-plan/historical-obligations.tsv:132	global semantic anchor; supplemental clauses retained
F02	IMPROVEMENTS_PLAN.md;docs/improvements/f02-picker-action-eligibility-and-destructive-target-identity.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	One eligible-item resolver and stable destructive target mapping	current_holla_done_later_tablepro_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Picker action and tab-close identity	current_main_mapping_required	No empty/disabled/loading/stale fallback target; preserve filter reset policy	Picker action and tab-close identity	TASK-020;TASK-043;TASK-046	docs/refactoring-plan/historical-obligations.tsv:133	global semantic anchor; supplemental clauses retained
F03	IMPROVEMENTS_PLAN.md;docs/improvements/f03-atomic-listbox-mutation.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Collection mutation atomically reconciles items/checks/cursor/chosen/range anchor/scroll	later_open	not established	List and Settings identity	current_main_mapping_required	Actual Settings delete then Shift+Up plus insert/delete endpoint properties	List and Settings identity	TASK-020	docs/refactoring-plan/historical-obligations.tsv:134	global semantic anchor; supplemental clauses retained
F04	IMPROVEMENTS_PLAN.md;docs/improvements/f04-reconcile-datagrid-read-only-transitions-before-mutation.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Recheck grid/column eligibility at every edit mutation and commit boundary	deferred_not_selected_oracle_preserved	not established	Grid dynamic read-only	historical_proposal_not_current_product_gate	Deferred proposal, not selected by immutable-oracle parity. Archive legacy direct DataGrid defect evidence at oracle02f5294b grid.rs542,593-619,1417-1424; do not restore unchecked mutation in modern Grid APIs. Retain accepted main entry-point/readonly guards. TablePro editable assignments tabs.rs395/2069 initialize new grids; no app mid-edit permission transition established. Any app compatibility exception requires an actual source-qualified reachable trajectory	Source-qualified disposition against exact current oracle; no proposed-behavior PASS claim	TASK-022;TASK-060	docs/refactoring-plan/historical-obligations.tsv:135	global semantic anchor; supplemental clauses retained
F05	IMPROVEMENTS_PLAN.md;docs/improvements/f05-preserve-treeview-target-across-lazy-insertion.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Tree cursor/chosen target stable through lazy insertion	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Tree identity	current_main_mapping_required	Reorder/insertion cannot silently retarget Holla resources	Tree identity	TASK-020;TASK-059	docs/refactoring-plan/historical-obligations.tsv:136	global semantic anchor; supplemental clauses retained
F06	IMPROVEMENTS_PLAN.md;docs/improvements/f06-preserve-datagrid-cursor-identity-through-local-sort.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Grid display sort preserves logical cursor/edit/selection identity	later_open	not established	Grid sort identity	current_main_mapping_required	Sort changes order without retargeting row state	Grid sort identity	TASK-022;TASK-060	docs/refactoring-plan/historical-obligations.tsv:137	global semantic anchor; supplemental clauses retained
F07	IMPROVEMENTS_PLAN.md;docs/improvements/f07-checked-row-schema-ingestion.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Checked schema/row ingestion handles ragged or invalid data consistently	later_open	not established	Grid ingestion	current_main_mapping_required	No panic or invalid cell dispatch on malformed input	Grid ingestion	TASK-022;TASK-060	docs/refactoring-plan/historical-obligations.tsv:138	global semantic anchor; supplemental clauses retained
F08a	IMPROVEMENTS_PLAN.md;docs/improvements/f08a-between-upper-value-paste.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Between filter upper field owns its own paste	deferred_not_selected_oracle_preserved	not established	TablePro filter paste	historical_proposal_not_current_product_gate	Deferred proposal, not selected by immutable-oracle parity. Preserve oracle02f5294b TablePro app.rs237-246: Filter paste edits lower value only when editing, otherwise consumes; upper-value paste leaves upper unchanged. Do not route to value2 as an unsolicited fix; exact owner/state/frame proof required	Source-qualified deferred disposition and actual upper-edit paste unchanged trajectory; no proposed-behavior PASS claim	TASK-060	docs/refactoring-plan/historical-obligations.tsv:139	global semantic anchor; supplemental clauses retained
F08b	IMPROVEMENTS_PLAN.md;docs/improvements/f08b-picker-grapheme-editing-query-paste.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Picker Unicode query editing and actual paste preserve grapheme boundaries	current_holla_done_later_tablepro_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Picker query input	current_main_mapping_required	Owner-route paste and UTF-8 edit/caret/copy contract	Picker query input	TASK-024	docs/refactoring-plan/historical-obligations.tsv:140	global semantic anchor; supplemental clauses retained
F08c	IMPROVEMENTS_PLAN.md;docs/improvements/f08c-ctrl-shift-home-end.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Ctrl+Shift+Home/End extend selection according to editor contract	later_open	not established	Editor modified keys	current_main_mapping_required	Modifier matrix and selection anchor integrity	Editor modified keys	TASK-013;TASK-016	docs/refactoring-plan/historical-obligations.tsv:141	global semantic anchor; supplemental clauses retained
F08d	IMPROVEMENTS_PLAN.md;docs/improvements/f08d-unassigned-modifiers-perform-plain-actions.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Explicit shortcut modifiers and hints agree with current owner	current_holla_done_later_apps_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	All-app binding matrix	current_main_mapping_required	Unassigned modified keys must be classified from oracle, not silently plain	All-app binding matrix	TASK-028;TASK-030	docs/refactoring-plan/historical-obligations.tsv:142	global semantic anchor; supplemental clauses retained
F09	IMPROVEMENTS_PLAN.md;docs/improvements/f09-deliver-inspect-copy-without-closing-the-modal.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Inspect copy delivers selection without incidental modal dismissal	deferred_not_selected_oracle_preserved	not established	Jackin Inspect copy	historical_proposal_not_current_product_gate	Deferred proposal, not selected by immutable-oracle parity. Preserve oracle02f5294b Jackin inspect.rs250/343: compact-open and advanced Diff routes discard the DiffView copy event and retain modal; no preview clipboard delivery from that event. Other copy owners remain unchanged; no new CustomModal effect API for this proposal	Source-qualified deferred disposition; selected diff plus y preserves exact oracle clipboard generation and modal state; no proposed-behavior PASS claim	TASK-056	docs/refactoring-plan/historical-obligations.tsv:143	global semantic anchor; supplemental clauses retained
F10	IMPROVEMENTS_PLAN.md;docs/improvements/f10-segment-logical-text-before-applying-styles.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Segment complete logical graphemes before applying span styles	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Unicode style corpus	current_main_mapping_required	Styled split clusters match unstyled geometry and copy	Unicode style corpus	TASK-013	docs/refactoring-plan/historical-obligations.tsv:144	global semantic anchor; supplemental clauses retained
F11	IMPROVEMENTS_PLAN.md;docs/improvements/f11-one-retention-aware-mutation-boundary.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	One retained-output mutation boundary enforces limits and identity	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Viewport retained output	current_main_mapping_required	Append/replace/prune invalidate exactly required state	Viewport retained output	TASK-021;TASK-044;TASK-055	docs/refactoring-plan/historical-obligations.tsv:145	global semantic anchor; supplemental clauses retained
F12	IMPROVEMENTS_PLAN.md;docs/improvements/f12-rebase-retained-identity-never-silently-retarget-selection.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Pruning rebases reading/selection by retained identity	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Retention selection	current_main_mapping_required	No copied wrong-source content or accidental bottom-follow	Retention selection	TASK-021	docs/refactoring-plan/historical-obligations.tsv:146	global semantic anchor; supplemental clauses retained
F13	IMPROVEMENTS_PLAN.md;docs/improvements/f13-make-cache-validity-part-of-content-ownership.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Mutation owner changes revision so viewport cannot reuse stale content	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Viewport cache validity	current_main_mapping_required	Same-length interior replacement and append revision tests	Viewport cache validity	TASK-021	docs/refactoring-plan/historical-obligations.tsv:147	global semantic anchor; supplemental clauses retained
F14	IMPROVEMENTS_PLAN.md;docs/improvements/f14-explicit-tab-control-geometry-and-copy-policy.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Tab/control display geometry and copied text policy explicit	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Text control corpus	current_main_mapping_required	Paint/cursor/hit/search/copy agree on logical source	Text control corpus	TASK-013;TASK-021	docs/refactoring-plan/historical-obligations.tsv:148	global semantic anchor; supplemental clauses retained
F15	IMPROVEMENTS_PLAN.md;docs/improvements/f15-incremental-live-output-work-measured-separately-from-idle-redraw.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Measure dirty append work separately from unchanged viewport redraw	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Viewport append perf	current_main_mapping_required	No hidden full-document scan under warm-only proof	Viewport append perf	TASK-021;TASK-067	docs/refactoring-plan/historical-obligations.tsv:149	global semantic anchor; supplemental clauses retained
F16	IMPROVEMENTS_PLAN.md;docs/improvements/f16-reach-every-showcase-section-at-supported-sizes.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	All Showcase sections reachable at supported sizes	deferred_not_selected_oracle_preserved	not established	Showcase section journeys	historical_proposal_not_current_product_gate	Preserve exact source fixed/clipped Inputs Buttons TextAreas layouts and absent narrow-size control geometry; do not add compact switching scrolling or a reveal route from the deferred proposal	Source-qualified present and absent controls plus unchanged focus drafts and full app frames	TASK-032;TASK-033;TASK-039	docs/refactoring-plan/historical-obligations.tsv:150	global semantic anchor; supplemental clauses retained
F17	IMPROVEMENTS_PLAN.md;docs/improvements/f17-empty-allocations-emit-nothing.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Empty allocations paint/register nothing	later_open	not established	Component containment	current_main_mapping_required	Zero/tiny nested containment with sentinel surroundings	Component containment	TASK-012;TASK-031	docs/refactoring-plan/historical-obligations.tsv:151	global semantic anchor; supplemental clauses retained
F18	IMPROVEMENTS_PLAN.md;docs/improvements/f18-distinguish-read-only-from-disabled.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Read-only interaction remains distinct from disabled	deferred_fixture_correction_not_selected_shared_contract_retained	not established	Read-only conformance and source disabled fixture	historical_proposal_not_current_product_gate	Keep modern disabled versus readonly API distinction; preserve Showcase TextAreas original Read-only transcript label with disabled dim inert unfocusable configuration; no relabel replacement or new navigation from deferred F18	Separate generic readonly navigation/copy/nonmutation proof from exact source disabled fixture frames and no-focus observations	TASK-016;TASK-022;TASK-033	docs/refactoring-plan/historical-obligations.tsv:152	global semantic anchor; supplemental clauses retained
F19	IMPROVEMENTS_PLAN.md;docs/improvements/f19-keyboard-selection-in-the-existing-textviewport.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Keyboard selection/copy in existing Viewport inherited by Diff	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Viewport and Diff keyboard	current_main_mapping_required	Selection anchors/Unicode/copy through owner flow	Viewport and Diff keyboard	TASK-026	docs/refactoring-plan/historical-obligations.tsv:153	global semantic anchor; supplemental clauses retained
F20	IMPROVEMENTS_PLAN.md;docs/improvements/f20-find-in-read-only-output-through-existing-composition.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Read-only output search through existing composed controls	source_Holla_find_preserved_Jackin_extension_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla Files preview and Activity output find; shared text matching and Viewport marks	source_present_Holla_behavior_requires_main_restoration	Restore source Holla Files preview and Activity output query match navigation marks reveal follow and revision behavior; Files ModeFind paste edits outer filename query before preview find, Browse preview-find paste uses trimmed query; no Jackin Inspect snapshot or new cross-app controller search from Deferred F20; preserve separate existing generic CodeEditor find	Exact Holla Files Browse-versus-Find paste recipient and Activity output query match/copy/follow/eviction journeys; shared match-to-source mapping; no invented Jackin search parity	TASK-013;TASK-021;TASK-025;TASK-026;TASK-042;TASK-044;TASK-050	docs/refactoring-plan/historical-obligations.tsv:154	global semantic anchor; supplemental clauses retained
F21	IMPROVEMENTS_PLAN.md;docs/improvements/f21-restore-terminal-state-for-supported-job-control-suspension.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Runtime owns terminal restoration on supported suspension/resume	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	SIGTSTP/SIGCONT lifecycle	current_main_mapping_required	Actual owned PTY signal/session proof, no model-only substitute	SIGTSTP/SIGCONT lifecycle	TASK-009	docs/refactoring-plan/historical-obligations.tsv:155	global semantic anchor; supplemental clauses retained
F22	IMPROVEMENTS_PLAN.md;docs/improvements/f22-separate-rasterizer-fidelity-from-terminal-correctness.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Rasterizer/canonical frame/emitted ANSI/terminal inspection remain distinct evidence	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	renderer qualification	current_main_mapping_required	Single grapheme/cell geometry and provenance; no PNG-only proof	renderer qualification	TASK-001;TASK-069;TASK-070	docs/refactoring-plan/historical-obligations.tsv:156	global semantic anchor; supplemental clauses retained
F23a	IMPROVEMENTS_PLAN.md;docs/improvements/f23a-state-reachability-design-d4.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Every declared state reachable through deterministic application events	current_holla_done_later_showcase_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	state graph	current_main_mapping_required	No synthetic snapshot-only state coverage	state graph	TASK-032;TASK-039;TASK-040;TASK-050;TASK-051;TASK-057;TASK-058;TASK-064	docs/refactoring-plan/historical-obligations.tsv:157	global semantic anchor; supplemental clauses retained
F23b	IMPROVEMENTS_PLAN.md;docs/improvements/f23b-lifecycle-v01-v02.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Terminal lifecycle proves declared exit/error/panic/startup paths	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	owned PTY lifecycle	current_main_mapping_required	Enumerate actual exercised exits and restoration	owned PTY lifecycle	TASK-009	docs/refactoring-plan/historical-obligations.tsv:158	global semantic anchor; supplemental clauses retained
F23c	IMPROVEMENTS_PLAN.md;docs/improvements/f23c-event-freshness-resize-v03.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Queued input observes current owner/geometry through resize	current_holla_done_later_apps_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	freshness PTY and runtime	current_main_mapping_required	Before/after first render and resize event sequences	freshness PTY and runtime	TASK-010	docs/refactoring-plan/historical-obligations.tsv:159	global semantic anchor; supplemental clauses retained
F23d	IMPROVEMENTS_PLAN.md;docs/improvements/f23d-input-flood-fairness-v04.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Input floods cannot starve work or advance simulated time incorrectly	current_done	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	input flood	current_main_mapping_required	Bounded fairness and deterministic clock assertions	input flood	TASK-009;TASK-010;TASK-044	docs/refactoring-plan/historical-obligations.tsv:160	global semantic anchor; supplemental clauses retained
F23e	IMPROVEMENTS_PLAN.md;docs/improvements/f23e-dirty-idle-performance-v05.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Dirty/idle rendering and production collection workloads separately measured	current_holla_done_later_collections_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	app and collection perf	current_main_mapping_required	No idle-only performance completion claim	app and collection perf	TASK-067	docs/refactoring-plan/historical-obligations.tsv:161	global semantic anchor; supplemental clauses retained
F23f	IMPROVEMENTS_PLAN.md;docs/improvements/f23f-rendering-color-compatibility-v06-v07.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	All capabilities and terminal paths have correct rendered evidence	current_holla_done_later_apps_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	capability environment matrix	current_main_mapping_required	Actual NO_COLOR separate from mono theme selection	capability environment matrix	TASK-069	docs/refactoring-plan/historical-obligations.tsv:162	global semantic anchor; supplemental clauses retained
F23g	IMPROVEMENTS_PLAN.md;docs/improvements/f23g-evidence-provenance-v08.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Evidence bound to immutable source/tool/binary/environment	current_holla_done_later_historical_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	provenance validation	current_main_mapping_required	No stale or missing historical app evidence accepted	provenance validation	TASK-069;TASK-070	docs/refactoring-plan/historical-obligations.tsv:163	global semantic anchor; supplemental clauses retained
F23h	IMPROVEMENTS_PLAN.md;docs/improvements/f23h-precise-subsidiary-regressions-v09.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Retain exact actual-paste, modifier, drag and search regression inputs	current_holla_done_later_editors_open	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	input regression corpus	current_main_mapping_required	Do not widen claim from Ctrl+Enter to all modifiers or wheel to drag	input regression corpus	TASK-066;TASK-069	docs/refactoring-plan/historical-obligations.tsv:164	global semantic anchor; supplemental clauses retained
HP01	IMPROVEMENTS_PLAN.md;docs/improvements/hp01-adaptive-discovery-and-stable-action-identity.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Discovery and stable action identity	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla discovery	current_main_mapping_required	Port simulated reachability; no live executable/daemon providers	Holla discovery	TASK-041;TASK-049	docs/refactoring-plan/historical-obligations.tsv:165	global semantic anchor; supplemental clauses retained
HP02	IMPROVEMENTS_PLAN.md;docs/improvements/hp02-search-query-editing-and-durable-usage-learning.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Search and remembered choices	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla search/learning	current_main_mapping_required	Port deterministic state; no durable filesystem usage store	Holla search/learning	TASK-041;TASK-044	docs/refactoring-plan/historical-obligations.tsv:166	global semantic anchor; supplemental clauses retained
HP03	IMPROVEMENTS_PLAN.md;docs/improvements/hp03-find-files-and-perform-resource-actions.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Find resources and perform simulated actions	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla file search	current_main_mapping_required	Port routes/selection/actions; no real home index/OS clipboard	Holla file search	TASK-042;TASK-044;TASK-048	docs/refactoring-plan/historical-obligations.tsv:167	global semantic anchor; supplemental clauses retained
HP04	IMPROVEMENTS_PLAN.md;docs/improvements/hp04-browse-folders-and-safely-preview-files.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Folder browser and safe preview states	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla browser	current_main_mapping_required	Port previews/identity; no real filesystem traversal/reads	Holla browser	TASK-042	docs/refactoring-plan/historical-obligations.tsv:168	global semantic anchor; supplemental clauses retained
HP05	IMPROVEMENTS_PLAN.md;docs/improvements/hp05-current-repository-git-operations.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Git status/pull/push simulated outcomes	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla git	current_main_mapping_required	Port current repository operation flows; no real git	Holla git	TASK-047	docs/refactoring-plan/historical-obligations.tsv:169	global semantic anchor; supplemental clauses retained
HP06	IMPROVEMENTS_PLAN.md;docs/improvements/hp06-repository-batches-mirrors-and-hygiene.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Batch repository and hygiene simulated flows	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla batches	current_main_mapping_required	Port outcomes and checks; no real branch/worktree deletion	Holla batches	TASK-047	docs/refactoring-plan/historical-obligations.tsv:170	global semantic anchor; supplemental clauses retained
HP07	IMPROVEMENTS_PLAN.md;docs/improvements/hp07-native-project-task-adapters.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Project task choices	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla tasks	current_main_mapping_required	Port simulated manifests/options; no external task execution	Holla tasks	TASK-047	docs/refactoring-plan/historical-obligations.tsv:171	global semantic anchor; supplemental clauses retained
HP08	IMPROVEMENTS_PLAN.md;docs/improvements/hp08-cargo-build-test-lint-and-clean.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Cargo choices/results	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla cargo	current_main_mapping_required	Port modeled progress/outcomes; no process execution/cleanup	Holla cargo	TASK-047	docs/refactoring-plan/historical-obligations.tsv:172	global semantic anchor; supplemental clauses retained
HP09	IMPROVEMENTS_PLAN.md;docs/improvements/hp09-docker-and-compose-outcomes.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Docker/Compose states and outcomes	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla Docker	current_main_mapping_required	Port daemon/log/destructive review simulations	Holla Docker	TASK-048	docs/refactoring-plan/historical-obligations.tsv:173	global semantic anchor; supplemental clauses retained
HP10	IMPROVEMENTS_PLAN.md;docs/improvements/hp10-homebrew-service-lifecycle.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Homebrew service controls	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla services	current_main_mapping_required	Port statuses and action eligibility; no brew commands	Holla services	TASK-048	docs/refactoring-plan/historical-obligations.tsv:174	global semantic anchor; supplemental clauses retained
HP11	IMPROVEMENTS_PLAN.md;docs/improvements/hp11-gradle-tasks-daemon-and-recursive-cleanup.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	Gradle tasks/daemon/cleanup review	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla Gradle	current_main_mapping_required	Port review identities/progress; no host process/filesystem changes	Holla Gradle	TASK-047	docs/refactoring-plan/historical-obligations.tsv:175	global semantic anchor; supplemental clauses retained
HP12	IMPROVEMENTS_PLAN.md;docs/improvements/hp12-intellij-metadata-cleanup.md	215990ef;abb480ac;c9661f6c;64add0ea;812bad84;02f5294b	IntelliJ cleanup review	simulation_done_operations_deferred	c9710d81;b5f237d4;03df2681;8f7ed0e1;1615aa56;11ae5078;4399e9dd;1aaa9b01;812bad84 (see linked slice evidence)	Holla IDEA	current_main_mapping_required	Port metadata selection/authorization; no Trash executor	Holla IDEA	TASK-047	docs/refactoring-plan/historical-obligations.tsv:176	global semantic anchor; supplemental clauses retained
