parent_scenario	previous_primary	complete_primary	required_application_producers	flow_audit	source_clause	preserved_parent_contract
JA-046	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; fresh(capsule-multi,Paused,0); K(Ctrl-B,n,Ctrl-B,p); variant Ctrl-B then digits 1,2,0,9; click(each tab); checkpoints: Active/inactive tabs and panes, labels/account suffix/state, out-of-range tab feedback, viewport geometry | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1258,1433	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-047	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; K(Ctrl-B); capture prefix; T(prefix timeout ticks); K(Ctrl-B,Esc); K(Ctrl-B,Ctrl-B); K(Ctrl-B,Ctrl-L); K(Ctrl-B,unknown-char); K(Ctrl-B,r); checkpoints: Prefix state/timeout/cancel, literal prefix oracle behavior, clear, invalid command status and redraw flash | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1258;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1836	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-048	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; variant K(Ctrl-B,c),K(Ctrl-B,%),K(Ctrl-B,double-quote); choose agent and account; cancel each picker on separate reset; select shell variant; checkpoints: New tab and horizontal/vertical split; correct account restrictions; cancellation no spawn; topology retained | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:509,567,650	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-049	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; K(Ctrl-B,h,Ctrl-B,j,Ctrl-B,k,Ctrl-B,l); K(Alt-Shift-Left,Alt-Shift-Right,Alt-Shift-Up,Alt-Shift-Down); K(Ctrl-B,z,Ctrl-B,z); drag(each seam,4 cells); checkpoints: Directional nearest focus, split resize minimums, zoom/unzoom restores proportions, exact inactive borders | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:749,768,828,2116	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-050	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; T(60); type(hello); K(Backspace); paste(world); K(Enter); T(60); variant focus shell/each agent and repeat; checkpoints: Live input, echo, cursor, deterministic replies/transcript, line wrapping and viewport follow-tail | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1340,2180;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/pty.rs:1125	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-051	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; T(60); K(PageUp,PageUp,Home); wheel(active pane,-100); wheel(inactive pane,3); K(PageDown,End); drag(transcript Refactor first cell,8 cells right); double-click(word Refactor); K(y,End); checkpoints: Scrollback boundaries, active wheel target, select/word copy exact World.clipboard, return-live and cursor mode | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:646;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:2038-2180	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-052	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; replay(tab_context_menu_renames_and_closes_by_mouse_and_keyboard); separate Ctrl-B comma rename with text editing; Ctrl-B m context; secondary-click tab; checkpoints: Context menu placement, target tab identity, rename cursor, close confirmation; focus restored | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests_chrome.rs:74;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:303,326	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-053	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; replay(menu_bar_opens_switches_and_runs_an_action); F10; Left/Right across all menus; Down/Up/Home/End; Esc; click each menu; hover adjacent title; click Brand/About; checkpoints: Menu open/switch/dismiss/action/disabled states and hitboxes, terminal keys captured while menus open | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests_chrome.rs:43;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:228,368	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-054	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; replay(command_palette_scrolls_with_the_wheel_and_keeps_the_selection); Ctrl-Backslash; type(no match); Backspace; type(rename); Enter; Esc; separate Ctrl-B Space and Ctrl-B colon; checkpoints: Palette open/query/no-match/wheel/selection/action/cancel; same keyboard semantics at narrow size | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests_chrome.rs:161;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:843,922	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-055	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi fixture; K(Ctrl-B,u); K(Down,PageDown,PageUp); wheel(usage modal,100); Esc; click(usage chip); Esc; click(container chip); K(y); Esc; menu GitHub and About; checkpoints: Usage read-only, all account meters, info copy, chip hitboxes, modal scroll and focus restore | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1130,1161,1209,2555	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-056	TASK-055	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial capsule-multi fixture; variant K(Ctrl-B,x),K(Ctrl-B,&); cancel then confirm on fresh world; close last pane/tab in one-instance fixture; checkpoints: Pane vs tab confirmation and content; topology shrinks coherently; final pane triggers correct lifecycle | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1050,1258;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/pty.rs:1525	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-057	TASK-055	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial capsule-multi with attached_by other client fixture; fresh takeover fixture; type(ignored); K(Enter); reset; K(Esc); checkpoints: Takeover capture, input suppression, Enter displaces other client, Esc detaches without takeover | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1872	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-058	TASK-055	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial capsule-multi fixture; replay(detach_reconnect_and_final_exit_plays_one_outro); replay(still_inside_feedback_when_other_instances_remain); checkpoints: Detach retains daemon tabs/panes; reconnect selection; nonfinal exit stays manager; final exit gets exactly one outro | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:219,251	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-059	TASK-056	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial outro-last fixture; K(Ctrl-Q); variant inspect changes then back,export then cancel,export simulated path then exit,keep instance,discard/purge confirmation; each fresh dirty policy fixture; checkpoints: Dirty exit branch, export result/status, cancellation, retained/deleted in-memory state, elapsed outro; no actual export | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/capsule.rs:1019,1080,2204	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-060	TASK-056	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial capsule-multi fixture; replay(inspect_changes_opens_from_the_view_menu_in_both_modes); checkpoint(Capsule-after-source-replay); K(F10,Right,Right,End,Enter); checkpoint(Inspect-compact-reopened); compact K(Down,Enter,PageDown,PageUp,Esc); K(m); advanced Tab,Down,Tab; F2; d; Esc; separate fresh capsule-multi at each listed size for each compact-open and advanced-Diff variant: K(F10,Right,Right,End,Enter,Enter); advanced only K(m,Tab); K(Home,Ctrl+Shift+Home); checkpoint(selected_diff_copy); K(y); checkpoint(copy_event_discarded); checkpoints: Compact list/drill-in and advanced tree/diff, selected file persists, diff display toggle, narrow stacked layout; nonempty selected Diff copy event is discarded in compact-open and advanced Diff routes: World.clipboard and clipboard_gen unchanged, selected text and modal remain; no preview/system clipboard delivery | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests_chrome.rs:133;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/inspect.rs:625;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/inspect.rs:881,922,1001;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/inspect.rs:240-251,301-345;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/diff.rs:286;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/viewport.rs:1316-1389	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations; retain nonempty selected diff copy with discarded event and unchanged preview clipboard/modal; no historical proposed delivery
JA-061	TASK-056	TASK-056	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial capsule-multi fixture; open Inspect Advanced; click(file); wheel(tree,100); wheel(diff,100); wheel(diff,-100); drag(diff scrollbar bottom,top); resize 80x24 then 160x50 then original; checkpoints: Diff/table region scroll routing and bounds, file selection, scrollbar capture, resize preserves semantic state | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/inspect.rs:643,714,718	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-062	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial outro-last fixture; end last instance using JA-058; Full checkpoints at outro 0,OUT_WARP-1,OUT_WARP,OUT_WARP+OUT_CAPTION-1,end-1; variant elapsed present/absent; K(Enter) at each phase on reset; checkpoints: Warp/caption phase cells, elapsed grammar, skip behavior, final quit and terminal restoration | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/rain.rs:643-850;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/arbiter.rs:119	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-063	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial returning,accounts-mixed fixture; for each host route Manager/Accounts/Usage/Settings/Editor/Prelude open reachable help; K(PageDown,PageUp,Down,Up,Esc); F10; switch menus; click strip links; checkpoints: Route-specific help/commands, host menu actions, focus restoration; hints remain last row across all layers | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:699,882;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests_chrome.rs:110	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-064	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; K(a); focus(op chooser); Enter; T(4); open next picker; wheel(outside modal,3); K(Tab,BackTab); click(outside); Esc; reopen; nested choice select then Esc; checkpoints: Topmost overlay captures wheel/key/pointer; layer-specific outside cancellation; parent form values/focus preserved; no background activation | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:1229,1255,1333,1756	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-065	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial returning,capsule-multi,accounts-mixed fixture; move(action); down(action); checkpoint; up(action); checkpoint; T(at 139ms); T(at 140ms); reset down(action),drag(outside),up(outside); type navigation key; move(action); checkpoints: Hover/press/flash boundaries and keyboard hover suppression; no accidental activation from outside release | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:340,1535	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-066	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial returning,capsule-multi,accounts-mixed fixture; navigate to scrolled/focused state; resize 71x19; send Down/Enter; resize 72x20; resize 80x24; resize 160x50; resize original; separate too-small q and Ctrl-C; checkpoints: Minimum guard blocks normal actions; exact TooSmall cells; recover state/focus/scroll/layout/cursor; quit still works | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:41,505,2251;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:264	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-067	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial all eight CLI worlds fixture; for each color truecolor,256,16,none and NO_COLOR without explicit color: fresh(world,Paused,0); rerun JA-016,JA-030,JA-046 representative interactions; checkpoints: Color conversion, mono modifiers, selected/focused/disabled differentiation; exact glyphs and cursor | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/main.rs:34;artifact-pattern at 02f5294bfdbf38004cc49130d0aff1d01f31434c: shots/audit/jackin-*	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-068	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial CLI fixture; spawn --help; variant invalid --color,--scenario,--motion,--frame; variant JACKIN_NO_MOTION=1 with explicit --motion full,reduced,paused; run paused --frame 45; terminate normal q/Ctrl-C paths; checkpoints: Exact CLI help/errors/exit 2, argument precedence, frame selection, alternate screen and terminal mode restoration | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/main.rs:34-108;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/scenario.rs:82	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-069	TASK-057	TASK-057	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	Initial first-use fixture; replay(complete_jackin_flow_keyboard_first) with every action checkpoint and frozen oracle tick counts; checkpoints: Connected 40-step registration/workspace/configuration/launch/session/selection/detach/reconnect/multiple-instance/final-exit journey; exactly retained domain effects | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:646-1026	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-070	TASK-051	TASK-051	TASK-051	Initial arbiter fixtures fixture; variant foreign entry claim,unknown discovery,missing entry time; construct oracle state then request entry/exit; compare production rendered route/status/caption; checkpoints: No duplicate intro/outro, discovery fails closed, missing time omits elapsed; unchanged simulated running-instance count | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/arbiter.rs:149-204;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:201	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-001	TASK-058	TASK-058	TASK-058	Preset C; launch;cp(initial);--help subprocess;--color bad subprocess;--connect missing subprocess | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/main.rs:24;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:918	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-002	TASK-058	TASK-058	TASK-058	Preset C; Down*8;cp(production);Home;End;Up;Tab;BackTab;cp(traversal) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:440	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-003	TASK-058	TASK-058	TASK-058	Preset C; /;type(Production);cp(filtered);Esc;cp(cancelled);/;type(zzzz_no_match);cp(empty);Esc;Down;cp(restored) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:440,327	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-004	TASK-058	TASK-058	TASK-058	Preset C; hover(Local PostgreSQL);cp(hover);Down;cp(keyboard_suppresses_hover);hover(Connect);down;cp(pressed);up;cp(connecting) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:211,1867;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:738	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-005	TASK-058	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset C; Down*8;Enter;cp(t0);ticks(3);cp(t3);ticks(4);cp(t7);ticks(4);cp(t11);ticks(1);cp(connected) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:125;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-006	TASK-058	TASK-058	TASK-058	Preset C; /;type(Staging);Enter;Down;Enter;ticks(12);cp(auth_failed);click(Reconnect);cp(retry);ticks(12);cp(failed_again) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384,509	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-007	TASK-058	TASK-058	TASK-058	Preset C; /;type(Analytics);Enter;Down;Enter;ticks(12);cp(unreachable);click(Reconnect);ticks(12);cp(retry_failed) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:148	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-008	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;cp(new_basic);Ctrl+S;cp(invalid);focus(Port);replace(65536);Ctrl+S;cp(invalid_port);focus(Port);replace(0);Ctrl+S;cp(zero_port) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:89,246,573	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-009	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(Name);replace(Parity fixture);select(Engine,MySQL);cp(mysql_port);select(Engine,SQLite);cp(sqlite_port);select(Engine,PostgreSQL);select(Group,Acme);focus(Environment);End;Space;focus(Safe Mode);End;Space;cp(choices) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:108,573	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-010	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(Password);Enter;paste(päss秘密);cp(password_field);Esc;focus(Prompt for password);Space;cp(prompt_toggle) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:108,860	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-011	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(BASIC/ADVANCED tabs);Right;Enter;cp(advanced);focus(SSL);Space;focus(SSH);Space;cp(ssh_enabled);focus(SSH host);replace(bastion.fixture);focus(SSH user);replace(operator);focus(Startup);Enter;paste(SET search_path TO public;);Esc;focus(Local only);Space;cp(advanced_filled) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:62,573,1117	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-012	TASK-058	TASK-058	TASK-058	Preset C; Ctrl+N;focus(Host);replace(localhost);click(Test connection);cp(testing);ticks(10);cp(success);focus(Host);replace(analytics.acme.io);click(Test connection);ticks(10);cp(test_error) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:384,573	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-013	TASK-058	TASK-058	TASK-058	Preset C; click(Edit);cp(edit);focus(Name);replace(Local parity);click(Cancel);cp(cancelled);click(Edit);focus(Name);replace(Local parity);Ctrl+S;cp(saved) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:509,689	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-014	TASK-058	TASK-058	TASK-058	Preset C; click(Duplicate);cp(copy);click(Delete);cp(delete_prompt);Esc;cp(kept);click(Delete);focus(Delete dialog action);Enter;cp(deleted) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:509,551	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-015	TASK-058	TASK-058	TASK-058	Preset C; repeat for six original connections: select first connection;click(Delete);focus(Delete dialog action);Enter;cp(after_each_delete);cp(empty);Ctrl+N;cp(new_from_empty) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:551,918	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-016	TASK-058	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset C; Ctrl+N;focus(Name);replace(Parity local);focus(Host);replace(localhost);focus(Database);replace(acme_dev);focus(User);replace(postgres);click(Save & Connect);cp(connecting);ticks(12);cp(workbench) | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/connections.rs:689;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
TP-017	TASK-059	TASK-061	TASK-058;TASK-059;TASK-060;TASK-061	Preset W; cp(initial);Tab through complete oracle focus cycle with cp(each);BackTab through reverse cycle with cp(each) | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent. | App::connect at app.rs:176–181 creates Query1, and connection tick app.rs:335–337 calls it; the W/connected full frames therefore require TASK-061. Empty-Workbench contributions are distinct TP-026-derived fixtures, not a claim W starts empty.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:99,1208;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:558;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:176;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:335	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
